timestamp,protocol,src_ip,src_port,dst_ip,dst_port,signature
2024-06-08 15:00:23,TCP,192.168.1.12,36218,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:23,TCP,192.168.1.12,58584,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,58586,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,36228,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:23,TCP,192.168.1.12,58592,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,36242,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:52,TCP,192.168.1.12,37604,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:52,TCP,192.168.1.12,37612,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:52,TCP,192.168.1.12,40318,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:52,TCP,192.168.1.12,40324,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-07-06 12:34:41,UDP,192.168.1.12,53,192.168.1.2,161,PROTOCOL-SNMP request udp
2024-07-06 12:34:41,UDP,192.168.1.12,53,192.168.1.2,161,SERVER-OTHER Bay/Nortel Nautica Marlin
2024-07-06 12:34:42,UDP,192.168.1.12,53,192.168.1.2,162,PROTOCOL-SNMP trap udp
2024-07-06 12:37:50,UDP,192.168.1.12,53,192.168.1.2,161,PROTOCOL-SNMP request udp
2024-07-06 12:37:50,UDP,192.168.1.12,53,192.168.1.2,161,SERVER-OTHER Bay/Nortel Nautica Marlin
2024-07-06 12:37:51,UDP,192.168.1.12,53,192.168.1.2,162,PROTOCOL-SNMP trap udp
2024-07-06 12:38:29,TCP,192.168.1.12,64016,192.168.1.2,162,PROTOCOL-SNMP trap tcp
2024-07-06 12:38:33,TCP,192.168.1.12,64016,192.168.1.2,705,PROTOCOL-SNMP AgentX/tcp request
2024-07-06 12:38:33,TCP,192.168.1.12,64018,192.168.1.2,705,PROTOCOL-SNMP AgentX/tcp request
2024-07-06 12:38:36,TCP,192.168.1.12,64016,192.168.1.2,161,PROTOCOL-SNMP request tcp
2024-07-06 12:39:11,UDP,192.168.1.12,33631,192.168.1.2,30391,INDICATOR-SHELLCODE x86 inc ebx NOOP
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:13,UDP,192.168.1.12,33631,192.168.1.2,43710,INDICATOR-SHELLCODE x86 inc ebx NOOP
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
